name	stars	title	content
Suzanne M.	5	Cashmere " Protect The Kittens " Great Go To Color !!	I love this color. It is such a pretty neutral with a little color. It looks great a lone and as a top coat with additional colors I ordered. Make sure you utilize the suggestions for cool or warm skin tones to select the best colors for you ! We all know how difficult it can be to select the right color lipstick. You will love this color !! SMC
Theresa S.	5	Very creamy lip stick that	Very creamy lip stick that stays on longer than my others. I like this color because it is a lovely natural lip color.
Leilani S.	5	Love it!	Love the colors but most of all I no longer have to use any lip balm or chap stick to make my lips soft. No more dry chapped lips
Pamm W.	5	Love it!	I love this lipstick! Great colors, stays on, and doesn't feather. Haven't worn lipstick in ages because I just couldn't find a good one at a reasonable price. These are amazing and at an amazing price. AND it helps worthwhile causes-a bonus!!
Linda S.	5	Love this Lipstick!	I suffer from lung issues that often make my lips look a pale blue! Many have noticed this - until I purchased "Protect the Kittens" lip color. It is a complete JOY to look into the mirror and not be reminded of my health issues. I also appreciate that the lipstick isn't in a metal or plastic tube but rather a eco friendly biodegradable and adorable dispenser. This lipstick isn't just for those of us 50 and over, it also is beautiful on my 27 year old daughter. Thanks Color the World!!!!! Linda Red Wing, MN
Lisa V.	5	Wonderful!	Im so happy! Huntress was the color and a pcteefe t match for me!! The lipstick container is so cute!
Linda R.	5	Really is “pretty n pink”	This is the most flattering lipstick - beautiful neutral pink that lights up your smile, but understated not bright. Goes on smooth and as advertised doesn’t bleed into lip lines.
Leah L.	5	Lip treatment stick	"Mint To Be" Lip treatment really helpful before Lip stick applied. Thank you.
Lisa O.	5	Best Lipstick Ever!	I don't usually write reviews, but the quality of this product deserves to be recognized. I finally found a lipstick that moisturizes, doesn't bleed into fine lines, and doesn't make my lips peel. Pretty N' Pink is a beautiful shade with a hint of shimmer - great for my pale complexion (natural red-head with blonde highlights, freckles, and blue eyes). Thank you for making this amazing product. You've gained a customer for life!
Kathleen B.	5	Surfberry is Beautiful!	I have just recently found this wonderful company and have purchased several lipsticks. They are all wonderful, go on very smoothly, and make my lips feel very good. However, I think Surfberry is my favorite color. It really brightens up my face, and a little on my cheeks gives me a nice over all glow.
Janice A.	5	Huntress	Color is lighter than it looks. Just the right tint for me
ClassyLibrarian	5	So Good!!	Love this color! Does need to be touched up after eating but pretty much all lipsticks that are moisturizing do. No bleeding, settling into lines or patchiness. Will purchase more colors!!
Barbara S.	5	Great Lipstick, Great Cause	Being an animal lover and wanting to try a chemical-free lipstick while supporting a wonderful cause, I didn’t hesitate to buy this one. The color is perfect on me, & the lipstick glides right on without giving me the appearance of “old lady lips”. I also love the kitty design on the tube. I am pleased with my purchase & will definitely try another color.
Lindalee1952	5	Beautiful!!	This is a great lipstick! Goes on velvety smooth and lasts for hours!
Diane P.	5	Lovely colors for mature women.	Lovely colors for mature women.
Marlene C.	5	Empowered was new to me	I wanted Flawless and Independent to replace the ones I’ve used up. I love those colors. When I saw the trio that included Empowered I decided to give it a try. I love it just as much as the others. It’s a great daytime casual with the same staying power (minus the drying look of matte lip colors). These are my favorite lipsticks because I find the formulas absolutely perfect! The names of the shades are perfect too!
Renee A.	5	I love the title—it captures our souls and makes us want to make a difference.	I just lost a lovely friend who created a Christian Ministry- Water Mission- a global effort to bring safe drinking water to thousands of children and adults all over the world. She died tragically but her legacy will live on. I dedicate Surfberry to her memory.
Donna H.	5	Triumph!	I love this lip color! Not only does it go on smooth and creamy, it stays on and does not bleed into lip wrinkles! Wonderful!
Sylvia H.	5	Really like this color. As	Really like this color. As with all the colors it truly does not bleed into my wrinkles around my lips. NI’m so happy I ordered these lipsticks!
Linda M.	5	Wonderful!	Your product is all you advertise! I’m 70 years old and am glad to find a lipstick that doesn’t feather and is long lasting. Your support of good causes is an added bonus.
Sonia L.	5	Outstanding	It covers in one swipe. It doesn't bleed. It feels so smooth and creamy. It has no taste. It has just the right feel and look of matte. I usually buy Clinique but since this is for a cause I am willing to switch. I Love it.
June B.	5	No bleeding!	This lipstick does not bleed into fine lines! It actually stands up to all the claims it makes. Moisturizing, long lasting.
Barbara S.	5	Best Lip Balm	Yay! I have finally found a lip balm that doesn’t dry out my lips, isn’t shiny & has just the right amount of mint flavor. Thank you for making a lip balm that actually does what it’s supposed to do.
Beth n.	5	It really doesn't bleed!	Have worn this several times since it arrived, and haven't had a single time where it bled. Fabulous!! Doesn't dry out my lips either! Will be trying more shades!
Sharon S.	5	Confidence renewed	I love that this lipstick is so smooth and creamy yet stays on my lips. I don’t end up looking like I have chapped lips as with other lipsticks. It is so nice in appearance that it gives me confidence!
Margaret C.	5	Great color Love the way	Great color Love the way it feels
Mary W.	5	Lots of compliments	Several people have commented on how pretty this lipstick shade looks. I am a senior with light blonde hair, blue eyes and pink complexion.  This lipstick goes on easily and looks great.
Gayl S.	5	Flawless	Flawless is a very light colored lipstick that feels good on my lips. No feathering or bleeding of the color
Jill S.	5	Excellent	Always fun when a purchase of an excellent product can also benefit a worthy cause. Thanks for this opportunity!
Marjorie S.	5	Perfect color. Love it. I	Perfect color. Love it. I would recommend this product to everyone I know.
Marian B.	5	Marian Burris	I am 91 years old, and love this lipstick. Best I ever had.  I gave my two daughters two each and they love it too.
Marilyn S.	5	Love the colors	Who wouldn’t want to support kittens ? Nice summer color and good prices.
Deborah M.	5	Minty goodness	Have only been using this lip treatment for a week however I'm impressed with how soft and healthy my lips feel. Also love that it is vegan. Definitely has become part of my night time routine.
Nancy B.	5	Tickled Pink!	I was Tickled Pink when I received this color of lipstick! It is the perfect pink I was looking for. Very satisfied!
Donna l.	5	Lovely	I purchased one tube just to give it a try. The next day ordered three more. Love it! The packaging is a bit of a disappointment but the lipstick it great. The package feels like cardboard. I am sure there must be a reason for it. Anyway try it, you want me disappointed.
Donna C.	5	Love the color	Love the color
Cindy B.	5	I can never find a	I can never find a color I like in the store,always returning but this color is perfect. Just as described.very natural with a hint of color. Thrilled to death that I can actually use it and not stock pile with the rest that I can't use. Thank you So much .will be ordering two more colors I know will probably be perfect !!!!!
Kit G.	5	Good quality, good price, good business model!	I really like the lipsticks; they are wonderfully moisturizing! Knowing how ethically they are made makes me feel good too.
Jill F.	5	Pretty color	Nice light shade. Pretty on my skin tone. Great cause.
Regina W.	5	Love Turtles Anyway!	Love the color and it's not my first purchase....and the fact proceeds go to help my favorite creatures.
Julia C.	5	Love it	Love how soft it makes my lips without feeling heavy. I love the scent.
Wilma F.	5	These lipsticks are great -	These lipsticks are great - they go on real nice and last for quite awhile. I would buy them again
Mary M.	5	Creamiest lipstick & treatment	Even tho' I chose the wrong color for me, I love the texture and creamy lipstick. Feels great while wearing & lasts several hours -- you don't have to re-apply constantly! I love the fact that the company gives back to the world with every purchase. Can't wait to order again & find the perfect color for me. Thank you, CTW!
Maggie T.	5	Fantastic lipstick!	It is just the right color and looks beautiful. The color doesn't fan or smear and it feels nice. Love the cute packaging as well. Will definitely be a return customer.
Janice A.	5	Mint to be	I like the cool feeling when I put it on and makes my lips look moist and not dry
Ana f.	5	Wonderful!	Wonderful product to prevent lips from drying!
Jodie F.	5	Dang!!! So great!	I would not have guessed this color would look so good on me! Creamy smooth, feels good on, too!
Caroll K.	5	this lipstick is the best,it	this lipstick is the best,it doesnt bleed or chap your lips. the colors are great & very natural looking
Susan S.	5	Love The Lipsticks!	I purchased the Neutrals Bundle and I love each one! I will definitely be a returning customer!
Linda K.	5	Cashmere lipstick	It goes on really smoothly & lasts a long time
Lisa H.	5	Perfect Neutral	Subtle color and amazing creamy texture, easy to layer. Really love the non-plastic tube.  Again, please offer gift certificates so we can share!
Monica K.	5	Irresistible- Books for Africa	The color is a beautiful pink. It looks darker in the casing but shows as a beautiful pink on my lips. The lipstick is very creamy and feels great on the lips.
Ginger S.	5	Glad I found these!	Love this bundle--Great moisturizing lipstick that doesn't feather. Love the packaging and have already ordered a couple more colors.
Linda R.	5	Will buy more!	Loved the lipstick and being able to help the veterans is a plus, too!
Derra H.	5	24K	This color did not disappoint. It really appears the same color in person as when you see it online. Very creamy texture and feels great!
Stacy G.	5	Excellent lipsticks	Great colors in terrific containers. Long lasting and moisturizing. My new favorites! And it's a bonus to help out a charity with my purchase.
Pamela M.	5	Excellent Lip Balm	This "Mint To Be" lip balm is wonderful! Just a hint of mint with the slight heat you get and soft lips. I use it every night before I go to bed and once during the day. Shipping was very fast, excellent service.
Doris S.	5	Best lipstick EVER!	I am in my 60’s and have a few lines around my mouth. Color the World is the first lipstick I have found that does not bleed, stays on for a long time and keeps lips feeling great!
Gail F.	5	The description provided for the	The description provided for the color is accurate and I love the texture and the way it wears! Moisturizing with great color! Bought three and will be purchasing more!
Kathryn H.	5	Great Product! Great Cause!	I purchased 3 lipsticks: Rose Gold, Huntress and Wildflower. They all glide on and feel good on my lips! My favorite color of the 3 is Rose Gold.
Joetta G.	5	Lipstick	Color was as shown and it is very creamy.
Bobbie D.	5	Finally, colors that don't scream	I have a very light complexion, and hate colors that are too loud, as most colors are today. These give me just enough color without making my lips the center of attention. Love them, am ordering more
Staci B.	5	Creamy and color perfection!	A treat for the lips! Smooth, creamy and a perfect neutral. I actually use it as a topper for darker matte lip color to create a rich, but delicate, shade.
Pamela Y.	5	satisfied customer	This is my second purchase from Color the World. I have since made a third purchase. All the lipsticks are moist, comfortable and do not bleed. They do not change color when I apply them - a problem I have had for years. I am very satisfied and will continue to purchase all my lipstick from CTW.
Kathleen w.	5	Goes on smoothly. Really does	Goes on smoothly. Really does not "bleed" into those tiny lip lines.
Barbi I.	5	Beautiful, lasting color	Really love these lipsticks - stays on well, doesn't fade and looks fresh for hours.
Patricia E.	5	Coral Reef	Love this lip stick , great color and stays on the lips all day.
Helen T.	5	Super nice lipstick!	I love the way this feels on my lips. It lasts a long time too. Will buy more, perhaps another color although I do love this color.
Gail F.	5	The color description is spot	The color description is spot on!! What a great neutral and that is always tricky....especially when buying online for the first time. A great moisturizing lipstick with staying power! I will be purchasing more!
Rebecca D.	5	Irresistible-'Books for Africa'	I really love the color of Irresistible. I am happy that my purchase will help provide 'Books for Africa'. I wish the lipstick were the same size as other lipsticks; it is noticeably smaller. My purchase came in record time, which I appreciate. Continue making these products that will MAKE a DIFFERENCE!
No N.	5	These two, I like,	smooth, creamy and feel light on my lips, never greasy or heavy and the colours seem right for me. Very satisfied customer here. I would feel fine in recommending this product to other woman.
Mary P.	5	Perfect!	Dreamer is perfect is you want a more neutral color to wear every day- and also works great to layer with another color. Love it!
Vessie	5	Highly Recommended	This is my first order from the company and I am very happy with it: Love the color and how creamy it feels on the lips. I already ordered 3 more and looking forward to use them soon. Highly recommended!
Elizabeth R.	5	I'm glad I purchased this	I'm glad I purchased this color especially because I was diagonosed with Breast Cancer this year. I like that the proceeds go to this cause. I like your website a lot and what it stands for and helps people and the environment with needs
Patricia T.	5	I was very happy with	I was very happy with the colors. I do love that the color last for hours.   I especially liked the small shipping package.I was very pleased to see the tubes are made from cardboard. The designs on the tubing is lovely.   Keep up the good work helping charities and the environment.   I would like to think you are hard at work on lip liners. Thank you!
Jodie F.	5	My new favorite coral!	Bright, light, and simply a marvelous color—and feels great on, too.
Anna C.	5	Love This Lipstick	Best lipstick out there. Color stays put no feathering or bleeding. Highly recommend.
Eugenia A.	5	Southern Red	Lips feel great after application. Color is beautiful and perfect for my skin tone. Will order additional colors now that I have used it.
Carole A.	5	Lovely colors; beautiful texture- creamy	Lovely colors; beautiful texture- creamy but doesn't smear. I'm very happy with my purchase
Wendy T.	5	Luscious!	This brand of lipstick is simply Luscious! Feels so smooth and stays on all day. I love it!
Eleanor C.	5	My first choice, and I	My first choice, and I LOVE 💗 IT!  I even got a friend to try your lipsticks out too! We now have “Luscious Lips”👄👄
Cindy M.	5	5 stars	Smooth, long lasting. Great color
Georgette E.	5	Lovely and smooth	Very smooth and creamy going on. The color looks more natural without being too bright. Seems to brighten my entire face. It stays on my lips longer, but is not drying. I like it very much.
Jane B.	5	Southern Red	This lipstick is silky smooth and stays on even during eating because the color stains my lips. I think it will be a better winter color as it is a bit dark on me right now.
Kit M.	5	BEST lipstick EVER!!!!!!	I'm 71 but been told I look 50...YEA what do they want.?LOL I purchased 3 and have had so many compliments. This lipstick really doesn't feather!!!..which is big as you age...Very happy to see such a smart lipstick case...No waste....Keep it coming.,:) you have a loyal customer.!!!
Gail Z.	5	Strong Women pack is great!	The colors are perfect, not too bright or harsh. As a mature woman it has been hard to find colors that are right. These are creamy and keep my lips moist.
Susan A.	5	Love these. Perfect colors, nice	Love these. Perfect colors, nice and smooth, long-lasting, reasonable prices, and I can contribute to my favorite causes.
Teresa H.	5	Beautiful lipstick	The color is beautiful, and goes on so smoothly with virtually no feathering. Will be trying more colors.
Julianne P.	5	Very satisfied!	Beautiful color... great product and service!
Maryanne R.	5	Beautiful natural color	Stayed on a long time. Nice and creamy color and texture.
Rose B.	5	Best ever!	This is the third one I’ve gotten. I love them! Long lasting and full coverage without showing deep creases on the lips.
Audelis z.	5	Wildflower One Percent for the Planet Lipstick	I love that just by purchasing this lipstick that I am helping a good and worthy cause. I love how the wildflower lipstick feels on my lips. I love the color and how it makes my face look softer with this on my lips.
Laurie B.	5	Love it!	Best lipstick ever! Love the color and the texture!
Charlene` M.	5	Great Lipsticks	I admit that at first when I saw the advertisement, I was skeptical, but after reading some reviews, I decided to try them. I was very pleased when I received the lipsticks and saw that not only were they regular size, (I thought they might be sample size), but the colors were just what I wanted. Thank you very much, and I will definitely be coming back for more.
Anita B.	5	Love these colors especially flawless.	Love these colors especially flawless. The reviews are correct-no feathering.
Myra S.	5	Color the World Lipstick	like the color ordered, website is great with colors and shows cool, warm and neutral colors, the color actually stays on better than what I have been using. It also makes lips feel good.
Ana f.	5	Bright, beautiful color!	Love the color and the texture.
Kathleen B.	5	So happy with this purchase.	So happy with this purchase. The lipstick goes on smooth, and the color is beautiful neutral shade.
Judi H.	5	First time!	This product goes on so nice and makes your lips feel wonderful!!
Marie T.	5	Beautiful !!	This color is a beautiful color. I love it !!
Mary B.	5	Warrior...	Love the lipstick! Will order another.
Sandra B.	5	I am hooked.	I like it. Fun trying a different look. The lipstick was not as red as I prefer but I am excited to have it.
Sadie V.	5	Excellent!	Love the super rich formula that stays put. No feathering!
Diane B.	5	Beautiful color	Beautiful color for every day and for going out. I love this color for summer when I have a tan!
Pat M.	5	lipstick	I love the creaminess of you lipsticks. It's my go to lipstick from now on. I'm very happy to see a cosmetic company step up to the growing environmental concerns we are facing & giving us an alternative way to approach cosmetics
Diane P.	5	Loved the colors, texture and	Loved the colors, texture and made my lips feel nicely moist. Looking forward to ordering more colors.
Jeanne B.	5	This lipstick is very creamy	This lipstick is very creamy and it doesn't bleed!!
Madeline L.	5	wonderful colors	Great to know I'm not only looking good but doing good!
Jacqueline S.	5	Great color	Color stays true, wonderful consistency
Celeste B.	5	I love your lipsticks. The	I love your lipsticks. The best I have ever used.I'm a customer from now on.
E. W.	5	Love the color	I definitely want to order more lipsticks, the color I ordered goes great with my aging dark skin.
Barbara S.	5	Coral Reef	I like the smoothness that is good on the lips
Patricia F.	5	It IS magnificent	Love the color, the soft feel, the stay on power. My 1st purchases. So glad I found you!
Marilyn S.	5	Great!	Nice color and a good cause!
Lesley G.	5	Rich color!	Gorgeous dark red -- the quintessential fall deep red/wine color... This is the color I have been searching for!!!
Marilyn S.	5	Great!	Nice color and a good cause!
Pamela L.	5	Love it!!!	Absolutely love this lipstick. color was perfect and it feels silky smooth. Will definately order again.
Rose E.	5	Lovely lipstick	Lovely lipstick.  It’s very soft on your lips and it doesn’t dry out. The colors are somewhat sheer but very accurate to picture
Cathy M.	5	Color the World Lipsticks	I love the colors & the way it feels on. It goes on so smoothly. I am going to order more & let others know about this. Thank you
Carol B.	5	I have finally found the	I have finally found the lipstick that I truly love. My daughters used to tease me about all the barely used lipsticks in my bathroom. Now that I have Wildflower I can end my search for what I wanted as I have found it.
Jill F.	5	Gorgeous color	Very happy to have received this color. It is beautiful.
Kathleen M.	5	Sunset	I have used these lipsticks before and really love them! Color is true to what you see and it feels so good on my lips!
Gloria F.	5	Great lipsticks	Really like these lipsticks. They absolutely do not feather, as the ads state. Colors are vibrant, and long lasting. Lipstick goes on smoothly. Shipment was very fast. I definitely will purchase more in the future.
Marilyn Z.	5	Love the color. Goes on	Love the color. Goes on smooth and feels great! Also stays on longer than most.
Marilyn Z.	5	Love the color. Goes on	Love the color. Goes on smooth and feels great! Also stays on longer than most.
Cindy C.	5	Strong Woman Pack	I really like this lipstick. Thought maybe it wouldn't stay on long, but it does. Colors are pretty. Feels good on my lips. And the best part is it's animal free.
Marcie G.	5	Flawless	Perfect color; not overpowering; moist; applies smoothly
Connie L.	5	Cancer survivor 1 year 8 months	Absolutely love your products and your support for such wonderful causes !!! 💗
Carol S.	5	Rose- Save the turtles	Was excited to get my first PKG of lipstick. Ride is the color, and I just absolutely love it. The way it glides on and stays on. Also got the mint lip balm and that really does help with chapped lips. Will be ordering again.🤗💖👍
Susan D.	5	The best!	I have the biggest collection of lip color because I can’t find exactly what I’m looking for. I think I found it tho. Perfect color, creamy and it doesn’t crease or make my lips feel dry after wearing for awhile. I highly recommend this!
Michele D.	5	So natural and long lasting.	So natural and long lasting.
S. M.	5	love it!	My first purchase of Color the World lipstick has been very satisfying. The lipstick stays on and remains moist. Thank you!
Toni K.	5	Perfect color for a mature woman with Salt & Pepper Hair!!	I am LOVING my New FIND....Color THE World! It has proven to be everything that was promised!  My Favorite: Is giving Back a little with each purchase!!  Thank You so much for your Core Values & Vision!!
Brenda W.	5	Wow!!	I received my three lipsticks and was a bit skeptical at first, then I used them! I love how silky they feel, no bleeding out and over my lipliner and good coverage. The one thing I can say is the colors are not as dark as advertised but are still fantastic!!
Maureen C.	5	It does just what it promises	As a woman of “of a certain age,” 67 to be exact, finding the right lipstick is a challenge. I got this set because I wanted to try different shades. It definitely doesn’t bleed. Women my age know what a gift that is. I think I know what shades work for me, so I can try some others. The ingredients are excellent and feel great on dried lips. Great product.
Sophia D.	5	Pretty	A very nice lipstick that seems to moisturize well and stays on. Wish it was a little darker on me.
Maj-britt M.	5	Strong women pack	Love them! They really didn’t feather. They will make great stocking stuffers for Christmas 🌲
ILISA	5	First time buyer	Love this product. Just bought 4 more in different colors. Gave one to my sister, who just bought some for herself. Prompt delivery. Love the packaging. Love the stories. Thank you.
Mary J.	5	Love them	Love them
Lisa O.	5	Subtle and beautiful.	It looks like naked lips, but prettier. Formula is soft, effects are long lasting.
Janice A.	5	Colors are light and refreshing.	Colors are light and refreshing. It lights up my face and not dull looking. Does not bleed too as stated
Suzanne B.	5	Very creamy and love the	Very creamy and love the color!!
Catherine C.	5	Sweet	This is such a fun summer color.
Francine B.	5	Cashmere Lipstick	Cashmere is a winner for me. Great neutral color, great texture and the color stays for hours.
Patricia H.	5	Smooth application and long wearing.	Smooth application and long wearing.
Tricia K.	5	I ordered 2 colors and	I ordered 2 colors and love both of them. The lipstick literally glides on and the colors are true to the order examples. I will order more.
Janet G.	5	Lips	Love it!!!!
Marie T.	5	Beautiful color	I love it !!! Goes on so smooth and stays awhile. My husband loves this color on me !
Susan L.	5	lipstick	very creamy, beautiful color
Joan B.	5	Love it!	The texture is very smooth and the color is spot on. I will be ordering more colors!
Suzanne W.	5	Purchasing empowerment	I appreciate a company with an ethical purpose.
Brenda J.	5	Love, love, love!!	Love, love, love!!
Patricia F.	5	Ideal for my warm color need on occasion	This product line is THE best.
Carol S.	5	Love my lipsticks!	What a creamy, smooth, long-lasting lipstick! I really like the way they define my lips -- no blurry-ness. Only problem, it was hard to pick out the color and they were almost too purple. I will try again!
Milagros C.	5	Great lipstick	Very light to put in the lips. Smooth feeling.
Pamela M.	5	Love the color, stays on	Love the color, stays on longer than other, (many brands) I have used. I will order again.
Patricia O.	5	First time	LOVE how this goes on, stays on & NO feathering! Even the red which always runs on me - it's an awesome product & very reasonable.
Ann S.	5	Lipstick	I love the color, the feel and that the lipstick status on awhile. Great product. I like to buy a product that donates to a good cause.
Irene W.	5	Beautiful shade!	Excellent quality and beautiful, neutral shade!
Melinda S.	5	Better than expected!!	First time ordering these lipsticks!! They are amazing!! I will definitely be re-ordering in the near future!!!
Dottie S.	5	!!!!	So very glad I discovered this brand! Amazing formula and colors. Can't go wrong. Just pick one!
Julie B.	5	Moisturizing, creamy. Made my lips	Moisturizing, creamy. Made my lips feel very luxurious.
Susan L.	5	Dreamer	Its very nice,like all the others I love the color too..
Terry A.	5	Great is all I can say!	These lipsticks are beautiful, taste fine (for men) and lasts a long time. I'll be back again and again. Thank you Color The World!!
Terry A.	5	Great is all I can say!	These lipsticks are beautiful, taste fine (for men) and lasts a long time. I'll be back again and again. Thank you Color The World!!
Ivona M.	5	Very nice color	Very pleased with my purchase, love the color and staying power on your lips - will purchase again
Susan L.	5	lipstick	By far my favorite. The color is perfect for my skin tone and it is very creamy. Will be purchasing again.l
Maureen F.	5	Love	Love
Marji F.	5	Love this	Love this
Bertha J.	5	Love the color not too	Love the color not too bold,just the right amount of shine not too much and goes great with my skintone.
Sharon E.	5	Vegan lip treatment	NICE! vegan too-keeps your lips soft and smooth.
Toni N.	5	Great shades, great lipstick	Love the colors of your lipstick! I will soon be trying another three pack in different shades.  They do not dry out my lips!
